headline,pub_date,snippet,web_url,word_count,abstract,section_name,pillar_name,type,byline,keywords,article_id
County cricket: Patterson-White’s maiden century damages Somerset’s hopes,2021-08-31T19:06:15Z,<p>Somerset finished on 87 for seven with Notts’ Luke Fletcher taking four for 21</p>,https://www.theguardian.com/sport/live/2021/aug/31/cricket-county-championship-day-two-somerset-notts-live,3079,<p>Somerset finished on 87 for seven with Notts’ Luke Fletcher taking four for 21</p>,Sport,Sport,liveblog,Tanya Aldred at Old Trafford,"County Championship, Cricket, Sport",sport/live/2021/aug/31/cricket-county-championship-day-two-somerset-notts-live
UK and US took ‘joint decision’ to keep Kabul airport gate open,2021-08-31T18:33:43Z,"<p>British sources dispute claim US forces kept gate ‘open longer than they wanted to’ before deadly attack last week</p><ul><li><a href=""https://www.theguardian.com/world/live/2021/aug/31/afghanistan-live-news-kabul-taliban-biden-final-us-flight-military-forces-leave-airport-islamic-state-latest-updates"">Afghanistan latest news – live</a></li></ul>",https://www.theguardian.com/world/2021/aug/31/uk-and-us-took-joint-decision-to-keep-kabul-airport-gate-open,665,"<p>British sources dispute claim US forces kept gate ‘open longer than they wanted to’ before deadly attack last week</p><ul><li><a href=""https://www.theguardian.com/world/live/2021/aug/31/afghanistan-live-news-kabul-taliban-biden-final-us-flight-military-forces-leave-airport-islamic-state-latest-updates"">Afghanistan latest news – live</a></li></ul>",Politics,News,article,"Dan Sabbagh, Heather Stewart and Patrick Wintour","Foreign policy, Dominic Raab, Afghanistan, UK news, Military, US news, South and central Asia, World news, US foreign policy, Politics",world/2021/aug/31/uk-and-us-took-joint-decision-to-keep-kabul-airport-gate-open
 The Guardian view on the US departure from Afghanistan: its responsibilities don’t end here,2021-08-31T18:01:54Z,"<p>After almost 20 years, America has ended its longest war. But its duties to Afghans endure</p>",https://www.theguardian.com/commentisfree/2021/aug/31/the-guardian-view-on-the-us-departure-from-afghanistan-its-responsibilities-dont-end-here,550,"<p>After almost 20 years, America has ended its longest war. But its duties to Afghans endure</p>",Opinion,Opinion,article,Editorial,"Afghanistan, US foreign policy, Foreign policy, Joe Biden, Biden administration",commentisfree/2021/aug/31/the-guardian-view-on-the-us-departure-from-afghanistan-its-responsibilities-dont-end-here
AOC calls on Joe Biden to replace Trump-appointed Fed chair,2021-08-31T16:12:25Z,<p>• Letter seeks greater action on climate crisis and racial justice</p><p>• Trump appointee’s term at Federal Reserve expires in February</p>,https://www.theguardian.com/business/2021/aug/31/jerome-powell-alexandria-ocasio-cortez-federal-reserve,537,<p>• Letter seeks greater action on climate crisis and racial justice</p><p>• Trump appointee’s term at Federal Reserve expires in February</p>,Business,News,article,Edward Helmore,"Federal Reserve, Business, Alexandria Ocasio-Cortez, Biden administration, US economy, Economics, US news, Democrats",business/2021/aug/31/jerome-powell-alexandria-ocasio-cortez-federal-reserve
Fox News accused of stoking violence after Tucker Carlson ‘revolt’ prediction,2021-08-31T14:45:49Z,"<p>• Media watchdog raises alarm at primetime host’s comments </p><p>• ‘Fox News, not Facebook, will be the driver of next insurrection’</p>",https://www.theguardian.com/media/2021/aug/31/fox-news-tucker-carlson-revolt-violence,493,"<p>• Media watchdog raises alarm at primetime host’s comments </p><p>• ‘Fox News, not Facebook, will be the driver of next insurrection’</p>",Media,News,article,Martin Pengelly in New York,"Fox News, Media, US politics, US news",media/2021/aug/31/fox-news-tucker-carlson-revolt-violence
Afghanistan live news: No 10 denies UK pushed to keep gate at Kabul airport open before terror attack – as it happened,2021-08-31T14:15:25Z,"<p>Downing Street says it is ‘simply not true’ UK pushed to keep Abbey gate at airport open; Biden confirms end of 20-year military presence</p><ul><li><a href=""https://www.theguardian.com/us-news/2021/aug/30/pentagon-kabul-drone-strike-islamic-state"">Chaos and bloodshed as last US flight leaves Kabul</a></li><li><a href=""https://www.theguardian.com/world/2021/aug/30/report-reveals-us-decision-to-keep-open-kabul-airport-gate-before-attack"">Afghanistan: what can refugees do now that UK evacuation is over?</a></li><li><a href=""https://www.theguardian.com/world/2021/aug/30/report-reveals-us-decision-to-keep-open-kabul-airport-gate-before-attack"">Report reveals US decision to keep open Kabul airport gate before attack</a></li><li><a href=""https://www.theguardian.com/world/afghanistan"">See all our Afghanistan coverage</a></li></ul>",https://www.theguardian.com/world/live/2021/aug/31/afghanistan-live-news-kabul-taliban-biden-final-us-flight-military-forces-leave-airport-islamic-state-latest-updates,10722,"<p>Downing Street says it is ‘simply not true’ UK pushed to keep Abbey gate at airport open; Biden confirms end of 20-year military presence</p><ul><li><a href=""https://www.theguardian.com/us-news/2021/aug/30/pentagon-kabul-drone-strike-islamic-state"">Chaos and bloodshed as last US flight leaves Kabul</a></li><li><a href=""https://www.theguardian.com/world/2021/aug/30/report-reveals-us-decision-to-keep-open-kabul-airport-gate-before-attack"">Afghanistan: what can refugees do now that UK evacuation is over?</a></li><li><a href=""https://www.theguardian.com/world/2021/aug/30/report-reveals-us-decision-to-keep-open-kabul-airport-gate-before-attack"">Report reveals US decision to keep open Kabul airport gate before attack</a></li><li><a href=""https://www.theguardian.com/world/afghanistan"">See all our Afghanistan coverage</a></li></ul>",World news,News,liveblog,Nicola Slawson (now); Lucy Campbell and Helen Sullivan (earlier),"Afghanistan, World news",world/live/2021/aug/31/afghanistan-live-news-kabul-taliban-biden-final-us-flight-military-forces-leave-airport-islamic-state-latest-updates
Judge orders hospital to treat Ohio Covid patient with ivermectin,2021-08-31T13:20:52Z,"<p>• Anti-parasitic drug can be dangerous in high doses</p><p>• Jeffrey Smith, 51, to receive 30mg for three weeks</p>",https://www.theguardian.com/us-news/2021/aug/31/ivermectin-covid-ohio-judge-orders-hospital,446,"<p>• Anti-parasitic drug can be dangerous in high doses</p><p>• Jeffrey Smith, 51, to receive 30mg for three weeks</p>",US news,News,article,Lauren Aratani,"Ohio, US news, Coronavirus",us-news/2021/aug/31/ivermectin-covid-ohio-judge-orders-hospital
Nizar Banat’s death highlights brutality of Palestinian Authority,2021-08-31T13:07:54Z,<p>Killing of the strident Fatah critic has underlined the PA’s complicity with Israel and how far Mahmoud Abbas will go to crush dissent</p>,https://www.theguardian.com/world/2021/aug/31/nizar-banats-death-highlights-brutality-of-palestinian-authority,1511,<p>Killing of the strident Fatah critic has underlined the PA’s complicity with Israel and how far Mahmoud Abbas will go to crush dissent</p>,World news,News,article,"Bethan McKernan, and Quique Kierszenbaum in Hebron","Palestine, Middle East and north Africa, World news, Human rights, Law",world/2021/aug/31/nizar-banats-death-highlights-brutality-of-palestinian-authority
Can the ‘high heel index’ predict economic growth?,2021-08-31T11:11:12Z,"<p>Extra-high heels are having a moment, from Beyoncé to Olivia Rodrigo. Could they mark a return to an era of prosperity?</p>",https://www.theguardian.com/fashion/2021/aug/31/can-the-high-heel-index-predict-economic-growth,456,"<p>Extra-high heels are having a moment, from Beyoncé to Olivia Rodrigo. Could they mark a return to an era of prosperity?</p>",Fashion,Lifestyle,article,Priya Elan,"Women's shoes, Fashion, Beyoncé, Olivia Rodrigo, Life and style, Music",fashion/2021/aug/31/can-the-high-heel-index-predict-economic-growth
The US supreme court is deciding more and more cases in a secretive ‘shadow docket’,2021-08-31T10:14:22Z,"<p>These emergency rulings – short, unsigned and issued without hearing oral arguments – undermine the public’s faith in the integrity of the court</p>",https://www.theguardian.com/commentisfree/2021/aug/31/supreme-court-us-cases-shadow-docket,1118,"<p>These emergency rulings – short, unsigned and issued without hearing oral arguments – undermine the public’s faith in the integrity of the court</p>",Opinion,Opinion,article,Moira Donegan,"US politics, US supreme court, Law (US), Law",commentisfree/2021/aug/31/supreme-court-us-cases-shadow-docket
