headline,pub_date,snippet,web_url,word_count,abstract,news_desk,section_name,subsection_name,type_of_material,byline,keywords
The Snake Oil Theory of the Modern Right,2021-08-30T23:28:50Z,How the nutritional supplement business has helped foster extremism.,https://www.nytimes.com/2021/08/30/opinion/covid-misinformation-supplements.html,839,How the nutritional supplement business has helped foster extremism.,OpEd,Opinion,,Op-Ed,By Paul Krugman,
What Voters in a California Swing District Say About Afghanistan,2021-08-30T19:09:27Z,"In a battleground district, even some Trump voters said they were hesitant to hold President Biden accountable for the casualties and chaos in the U.S. pullout from Afghanistan.",https://www.nytimes.com/2021/08/30/us/politics/california-voters-afghanistan-biden.html,1510,"In a battleground district, even some Trump voters said they were hesitant to hold President Biden accountable for the casualties and chaos in the U.S. pullout from Afghanistan.",Politics,U.S.,Politics,News,By Jennifer Medina,
When the ‘Silent Majority’ Isn’t White,2021-08-30T19:00:10Z,The new media obsession with moderate minorities.,https://www.nytimes.com/2021/08/30/opinion/silent-majority-white-media.html,2316,The new media obsession with moderate minorities.,OpEd,Opinion,,Op-Ed,By Jay Caspian Kang,
How Does Biden Recover From His Week From Hell?,2021-08-30T09:00:17Z,"It won’t be easy, but it won’t be impossible, either. ",https://www.nytimes.com/2021/08/30/opinion/biden-afghanistan-covid.html,1533,"It won’t be easy, but it won’t be impossible, either. ",OpEd,Opinion,,Op-Ed,By Gail Collins and Bret Stephens,
Your Monday Briefing,2021-08-30T03:15:16Z,A U.S. drone strike in Kabul.,https://www.nytimes.com/2021/08/30/briefing/afghanistan-ida-coronavirus.html,1201,A U.S. drone strike in Kabul.,NYTNow,Briefing,,briefing,By Natasha Frost,
Your Monday Briefing,2021-08-29T21:11:27Z,Drone strikes in Afghanistan.,https://www.nytimes.com/2021/08/29/briefing/your-monday-briefing.html,1226,Drone strikes in Afghanistan.,NYTNow,Briefing,,briefing,By Amelia Nierenberg,
"Ron DeSantis, How Many Covid Deaths Are Enough?",2021-08-29T19:00:05Z,Florida’s governor is allowing you to choose death so that he can have a greater political life.,https://www.nytimes.com/2021/08/29/opinion/ron-desantis-covid-death.html,837,Florida’s governor is allowing you to choose death so that he can have a greater political life.,OpEd,Opinion,,Op-Ed,By Charles M. Blow,
What Voters Should Know About the Newsom Recall,2021-08-29T17:56:09Z,Here’s everything you need to know to vote in the California gubernatorial recall election on Sept. 14.,https://www.nytimes.com/article/newsom-recall-election-voter-guide.html,2277,Here’s everything you need to know to vote in the California gubernatorial recall election on Sept. 14.,National,U.S.,,News,By Jill Cowan and Shawn Hubler,
How Did Deep Blue California Get Played by Recall-Happy Republicans?,2021-08-29T15:00:05Z,It’s not just Gavin Newsom’s problem. The state’s recall system is strange and troubling.,https://www.nytimes.com/2021/08/29/opinion/california-recall-election-newsom.html,1181,It’s not just Gavin Newsom’s problem. The state’s recall system is strange and troubling.,Editorial,Opinion,,Op-Ed,By Michelle Cottle,
Transcript: Ezra Klein Interviews Robert Wright,2021-08-27T13:00:02Z,,https://www.nytimes.com/2021/08/27/podcasts/transcript-ezra-klein-interviews-robert-wright.html,9292,,OpEd,Podcasts,,Op-Ed,,
Biden Administration to Keep Using Public Health Rule to Turn Away Migrants,2021-08-02T23:54:03Z,"Citing new concerns about the spread of the coronavirus, the administration will continue to rely for now on a Trump-era policy.",https://www.nytimes.com/2021/08/02/us/politics/biden-immigration-covid.html,1249,"Citing new concerns about the spread of the coronavirus, the administration will continue to rely for now on a Trump-era policy.",Washington,U.S.,Politics,News,By Eileen Sullivan and Zolan Kanno-Youngs,
