month,outlet,resp_net_score_mean,resp_net_score_std,resp_net_score_count,sci_net_score_mean,sci_net_score_std,sci_net_score_count,resp_direction_<lambda>,sci_direction_<lambda>
2020-01,Guardian,-0.002,0.0104,139,-0.0007,0.008,139,0.0576,0.0072
2020-01,NYT,0.0,0.0,4,0.0,0.0,4,0.0,0.0
2020-02,Guardian,-0.0027,0.0126,342,-0.0005,0.005,342,0.076,0.0175
2020-02,NYT,0.0,0.0,14,0.0,0.0,14,0.0,0.0
2020-03,Guardian,-0.0025,0.014,903,-0.0004,0.0064,903,0.0831,0.0199
2020-03,NYT,-0.0047,0.0145,25,-0.0014,0.0069,25,0.12,0.04
2020-04,Guardian,-0.0025,0.0126,917,-0.0017,0.009,917,0.0872,0.06
2020-04,NYT,-0.0123,0.0226,15,-0.001,0.0126,15,0.2667,0.0667
2020-05,Guardian,-0.0024,0.0119,882,-0.0017,0.009,882,0.093,0.059
2020-05,NYT,-0.0045,0.0185,23,0.0003,0.0088,23,0.1739,0.0435
2020-06,Guardian,-0.0019,0.0098,691,-0.0006,0.0059,691,0.0724,0.0275
2020-06,NYT,-0.0043,0.0162,14,0.0,0.0,14,0.0714,0.0
2020-07,Guardian,-0.0023,0.0104,670,-0.0012,0.0094,670,0.0746,0.0358
2020-07,NYT,-0.0016,0.007,19,-0.0013,0.0055,19,0.0526,0.0526
2020-08,Guardian,-0.0023,0.0105,661,-0.0009,0.007,661,0.0862,0.0348
2020-08,NYT,-0.0013,0.0171,19,0.0027,0.0082,19,0.1579,0.0
2020-09,Guardian,-0.0018,0.0093,659,-0.0006,0.0067,659,0.0698,0.0303
2020-09,NYT,-0.0055,0.0152,20,0.0,0.0,20,0.15,0.0
2020-10,Guardian,-0.0009,0.0096,873,-0.001,0.0071,873,0.055,0.0286
2020-10,NYT,-0.0037,0.0108,18,-0.0079,0.017,18,0.1111,0.2222
2020-11,Guardian,-0.0007,0.009,905,-0.0011,0.0069,905,0.0497,0.0464
2020-11,NYT,0.0,0.0,4,0.0,0.0,4,0.0,0.0
2020-12,Guardian,-0.0017,0.0105,543,-0.0007,0.0072,543,0.0552,0.0295
2020-12,NYT,0.0098,0.017,3,0.0,0.0,3,0.0,0.0
2021-01,Guardian,-0.0031,0.0184,442,-0.0011,0.0083,442,0.0814,0.0317
2021-01,NYT,0.0,0.0,2,-0.0128,0.0181,2,0.0,0.5
